"season","bowler","phase","runs_conceded","balls_bowled","wickets","dot_balls","economy","norm_wickets","norm_dot_balls","norm_economy","clutch_score"
2014,"A Mishra","Death",87,42,3,9,12.43,0.1875,0.079646017699115,0.466530612244898,0.0897
2014,"A Mishra","Middle",255,188,5,57,8.14,0.3125,0.504424778761062,0.291428571428571,0.3097
2014,"A Nehra","Death",57,37,6,10,9.24,0.375,0.0884955752212389,0.336326530612245,0.2179
2014,"A Nehra","Middle",20,7,0,1,17.14,0,0.00884955752212389,0.658775510204082,-0.0632
2014,"A Nehra","Powerplay",66,49,2,19,8.08,0.125,0.168141592920354,0.288979591836735,0.0965
2014,"AB Dinda","Death",114,56,1,12,12.21,0.0625,0.106194690265487,0.457551020408163,0.0236
2014,"AB Dinda","Middle",85,89,1,31,5.73,0.0625,0.274336283185841,0.193061224489796,0.1005
2014,"AB Dinda","Powerplay",72,50,3,21,8.64,0.1875,0.185840707964602,0.311836734693878,0.1371
2014,"AD Russell","Death",26,13,0,1,12,0,0.00884955752212389,0.448979591836735,-0.0422
2014,"AD Russell","Middle",28,18,2,5,9.33,0.125,0.0442477876106195,0.34,0.0543
2014,"AN Ahmed","Death",67,40,2,10,10.05,0.125,0.0884955752212389,0.369387755102041,0.0646
2014,"AN Ahmed","Middle",26,24,1,8,6.5,0.0625,0.0707964601769911,0.224489795918367,0.0363
2014,"AN Ahmed","Powerplay",27,25,0,7,6.48,0,0.0619469026548673,0.223673469387755,-0.0038
2014,"AR Patel","Death",114,91,7,34,7.52,0.4375,0.300884955752212,0.266122448979592,0.3262
2014,"AR Patel","Middle",252,262,12,104,5.77,0.75,0.920353982300885,0.19469387755102,0.7066
2014,"AR Patel","Powerplay",58,50,0,19,6.96,0,0.168141592920354,0.243265306122449,0.0261
2014,"Ankit Sharma","Middle",17,18,2,7,5.67,0.125,0.0619469026548673,0.190612244897959,0.0745
2014,"Ankit Sharma","Powerplay",27,30,2,15,5.4,0.125,0.132743362831858,0.179591836734694,0.0969
2014,"B Kumar","Death",146,108,12,33,8.11,0.75,0.292035398230089,0.290204081632653,0.5086
2014,"B Kumar","Middle",34,21,1,7,9.71,0.0625,0.0619469026548673,0.355510204081633,0.0205
2014,"B Kumar","Powerplay",182,198,8,112,5.52,0.5,0.991150442477876,0.184489795918367,0.5789
2014,"BCJ Cutting","Middle",14,12,2,7,7,0.125,0.0619469026548673,0.244897959183673,0.0691
2014,"BCJ Cutting","Powerplay",17,12,0,2,8.5,0,0.0176991150442478,0.306122448979592,-0.0253
2014,"BE Hendricks","Death",54,31,4,10,10.45,0.25,0.0884955752212389,0.385714285714286,0.138
2014,"BE Hendricks","Middle",18,12,0,2,9,0,0.0176991150442478,0.326530612244898,-0.0273
2014,"BE Hendricks","Powerplay",55,32,0,13,10.31,0,0.115044247787611,0.38,-0.0035
2014,"BW Hilfenhaus","Death",112,55,2,13,12.22,0.125,0.115044247787611,0.457959183673469,0.0637
2014,"BW Hilfenhaus","Middle",31,18,2,5,10.33,0.125,0.0442477876106195,0.380816326530612,0.0502
2014,"BW Hilfenhaus","Powerplay",112,102,5,52,6.59,0.3125,0.460176991150442,0.228163265306122,0.3027
2014,"CJ Anderson","Death",41,20,2,4,12.3,0.125,0.0353982300884956,0.461224489795918,0.0395
2014,"CJ Anderson","Middle",54,37,1,6,8.76,0.0625,0.0530973451327434,0.316734693877551,0.0218
2014,"CJ Anderson","Powerplay",93,57,1,25,9.79,0.0625,0.221238938053097,0.358775510204082,0.068
2014,"DJ Hussey","Death",38,18,2,5,12.67,0.125,0.0442477876106195,0.476326530612245,0.0406
2014,"DJG Sammy","Death",61,26,0,2,14.08,0,0.0176991150442478,0.533877551020408,-0.0481
2014,"DJG Sammy","Middle",83,50,2,15,9.96,0.125,0.132743362831858,0.365714285714286,0.0783
2014,"DJG Sammy","Powerplay",15,12,1,3,7.5,0.0625,0.0265486725663717,0.26530612244898,0.0189
2014,"DR Smith","Death",36,13,2,3,16.62,0.125,0.0265486725663717,0.637551020408163,0.0192
2014,"DR Smith","Middle",63,49,2,12,7.71,0.125,0.106194690265487,0.273877551020408,0.0795
2014,"DS Kulkarni","Death",87,49,1,8,10.65,0.0625,0.0707964601769911,0.393877551020408,0.0194
2014,"DS Kulkarni","Middle",48,32,1,8,9,0.0625,0.0707964601769911,0.326530612244898,0.0261
2014,"DS Kulkarni","Powerplay",91,92,4,54,5.93,0.25,0.47787610619469,0.201224489795918,0.2732
2014,"DW Steyn","Death",160,105,7,31,9.14,0.4375,0.274336283185841,0.332244897959184,0.3116
2014,"DW Steyn","Middle",102,67,0,20,9.13,0,0.176991150442478,0.331836734693878,0.0199
2014,"DW Steyn","Powerplay",179,170,5,94,6.32,0.3125,0.831858407079646,0.217142857142857,0.4153
